NR_ZONA;NR_SECAO;NM_SECAO;ENDERECO;BAIRRO
76;14;CATEDRAL BASÍLICA SÃO LUIZ GONZAGA;RUA JOAQUIM NABUCO, 543;CENTRO
76;19;CATEDRAL BASÍLICA SÃO LUIZ GONZAGA;RUA JOAQUIM NABUCO, 543;CENTRO
76;133;CATEDRAL BASÍLICA SÃO LUIZ GONZAGA;RUA JOAQUIM NABUCO, 543;CENTRO
76;144;CATEDRAL BASÍLICA SÃO LUIZ GONZAGA;RUA JOAQUIM NABUCO, 543;CENTRO
76;216;CATEDRAL BASÍLICA SÃO LUIZ GONZAGA;RUA JOAQUIM NABUCO, 543;CENTRO
76;243;CATEDRAL BASÍLICA SÃO LUIZ GONZAGA;RUA JOAQUIM NABUCO, 543;CENTRO
76;275;CATEDRAL BASÍLICA SÃO LUIZ GONZAGA;RUA JOAQUIM NABUCO, 543;CENTRO
76;332;CATEDRAL BASÍLICA SÃO LUIZ GONZAGA;RUA JOAQUIM NABUCO, 543;CENTRO
76;364;CATEDRAL BASÍLICA SÃO LUIZ GONZAGA;RUA JOAQUIM NABUCO, 543;CENTRO
76;385;CATEDRAL BASÍLICA SÃO LUIZ GONZAGA;RUA JOAQUIM NABUCO, 543;CENTRO
76;52;CENTRO SOCIAL URBANO - EMEI PEQUENO POLEGAR;RUA DEMÉTRIO RIBEIRO, 1085;GUARANI
76;113;CENTRO SOCIAL URBANO - EMEI PEQUENO POLEGAR;RUA DEMÉTRIO RIBEIRO, 1085;GUARANI
76;178;CENTRO SOCIAL URBANO - EMEI PEQUENO POLEGAR;RUA DEMÉTRIO RIBEIRO, 1085;GUARANI
76;214;CENTRO SOCIAL URBANO - EMEI PEQUENO POLEGAR;RUA DEMÉTRIO RIBEIRO, 1085;GUARANI
76;293;CENTRO SOCIAL URBANO - EMEI PEQUENO POLEGAR;RUA DEMÉTRIO RIBEIRO, 1085;GUARANI
76;350;CENTRO SOCIAL URBANO - EMEI PEQUENO POLEGAR;RUA DEMÉTRIO RIBEIRO, 1085;GUARANI
76;12;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;25;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;58;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;67;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;70;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;82;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;125;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;185;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;233;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;240;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;276;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;300;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;330;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;377;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;462;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;468;COLÉGIO ESTADUAL 25 DE JULHO;RUA JOSÉ DO PATROCÍNIO, 730;RIO BRANCO
76;51;COLÉGIO ESTADUAL SENADOR ALBERTO PASQUALINI;RUA MARQUÊS DE SOUZA, 528;SAO JOSE
76;130;COLÉGIO ESTADUAL SENADOR ALBERTO PASQUALINI;RUA MARQUÊS DE SOUZA, 528;SAO JOSE
76;204;COLÉGIO ESTADUAL SENADOR ALBERTO PASQUALINI;RUA MARQUÊS DE SOUZA, 528;SAO JOSE
