NM_VOTAVEL,SG_PARTIDO,BAIRRO,QT_VOTOS
Branco,#NULO#,BOA SAUDE,315
Branco,#NULO#,CANUDOS,1589
Branco,#NULO#,CENTRO,195
Branco,#NULO#,GUARANI,127
Branco,#NULO#,HAMBURGO VELHO,118
Branco,#NULO#,IDEAL,184
Branco,#NULO#,INDUSTRIAL,254
Branco,#NULO#,JARDIM MAUA,84
Branco,#NULO#,LIBERDADE,169
Branco,#NULO#,LOMBA GRANDE,258
Branco,#NULO#,OPERARIO,99
Branco,#NULO#,OURO BRANCO,66
Branco,#NULO#,PATRIA NOVA,151
Branco,#NULO#,PETROPOLIS,153
Branco,#NULO#,PRIMAVERA,236
Branco,#NULO#,RINCAO,134
Branco,#NULO#,RIO BRANCO,118
Branco,#NULO#,RONDONIA,296
Branco,#NULO#,ROSELANDIA,180
Branco,#NULO#,SANTO AFONSO,524
Branco,#NULO#,SAO JORGE,193
Branco,#NULO#,SAO JOSE,476
Branco,#NULO#,VILA NOVA,56
Branco,#NULO#,VILA ROSA,104
FUFA,PT,BOA SAUDE,366
FUFA,PT,CANUDOS,1987
FUFA,PT,CENTRO,439
FUFA,PT,GUARANI,174
FUFA,PT,HAMBURGO VELHO,234
FUFA,PT,IDEAL,299
FUFA,PT,INDUSTRIAL,363
FUFA,PT,JARDIM MAUA,162
FUFA,PT,LIBERDADE,245
FUFA,PT,LOMBA GRANDE,307
FUFA,PT,OPERARIO,181
FUFA,PT,OURO BRANCO,105
FUFA,PT,PATRIA NOVA,298
FUFA,PT,PETROPOLIS,233
FUFA,PT,PRIMAVERA,353
FUFA,PT,RINCAO,109
FUFA,PT,RIO BRANCO,210
FUFA,PT,RONDONIA,339
FUFA,PT,ROSELANDIA,133
FUFA,PT,SANTO AFONSO,824
FUFA,PT,SAO JORGE,232
FUFA,PT,SAO JOSE,542
FUFA,PT,VILA NOVA,100
FUFA,PT,VILA ROSA,272
GUSTAVO FINCK,PP,BOA SAUDE,1937
GUSTAVO FINCK,PP,CANUDOS,15234
GUSTAVO FINCK,PP,CENTRO,3028
GUSTAVO FINCK,PP,GUARANI,1542
GUSTAVO FINCK,PP,HAMBURGO VELHO,2047
GUSTAVO FINCK,PP,IDEAL,2509
GUSTAVO FINCK,PP,INDUSTRIAL,2580
GUSTAVO FINCK,PP,JARDIM MAUA,1501
GUSTAVO FINCK,PP,LIBERDADE,1875
GUSTAVO FINCK,PP,LOMBA GRANDE,2851
GUSTAVO FINCK,PP,OPERARIO,1171
GUSTAVO FINCK,PP,OURO BRANCO,899
GUSTAVO FINCK,PP,PATRIA NOVA,2495
GUSTAVO FINCK,PP,PETROPOLIS,1408
GUSTAVO FINCK,PP,PRIMAVERA,2333
GUSTAVO FINCK,PP,RINCAO,1041
GUSTAVO FINCK,PP,RIO BRANCO,1371
GUSTAVO FINCK,PP,RONDONIA,2967
GUSTAVO FINCK,PP,ROSELANDIA,1355
GUSTAVO FINCK,PP,SANTO AFONSO,4047
