NM_VOTAVEL,SG_PARTIDO,BAIRRO,QT_VOTOS
ALEXANDRE TONEL,UNIÃO,BOA SAUDE,2
ALEXANDRE TONEL,UNIÃO,CANUDOS,30
ALEXANDRE TONEL,UNIÃO,CENTRO,33
ALEXANDRE TONEL,UNIÃO,GUARANI,20
ALEXANDRE TONEL,UNIÃO,HAMBURGO VELHO,15
ALEXANDRE TONEL,UNIÃO,IDEAL,24
ALEXANDRE TONEL,UNIÃO,INDUSTRIAL,26
ALEXANDRE TONEL,UNIÃO,JARDIM MAUA,7
ALEXANDRE TONEL,UNIÃO,LIBERDADE,11
ALEXANDRE TONEL,UNIÃO,LOMBA GRANDE,6
ALEXANDRE TONEL,UNIÃO,OPERARIO,12
ALEXANDRE TONEL,UNIÃO,OURO BRANCO,71
ALEXANDRE TONEL,UNIÃO,PATRIA NOVA,29
ALEXANDRE TONEL,UNIÃO,PETROPOLIS,6
ALEXANDRE TONEL,UNIÃO,PRIMAVERA,18
ALEXANDRE TONEL,UNIÃO,RINCAO,4
ALEXANDRE TONEL,UNIÃO,RIO BRANCO,25
ALEXANDRE TONEL,UNIÃO,RONDONIA,15
ALEXANDRE TONEL,UNIÃO,ROSELANDIA,3
ALEXANDRE TONEL,UNIÃO,SANTO AFONSO,6
ALEXANDRE TONEL,UNIÃO,SAO JORGE,5
ALEXANDRE TONEL,UNIÃO,SAO JOSE,1
ALEXANDRE TONEL,UNIÃO,VILA NOVA,8
ALEXANDRE TONEL,UNIÃO,VILA ROSA,10
ALINE CAPPELETTI,PP,BOA SAUDE,13
ALINE CAPPELETTI,PP,CANUDOS,221
ALINE CAPPELETTI,PP,CENTRO,30
ALINE CAPPELETTI,PP,GUARANI,11
ALINE CAPPELETTI,PP,HAMBURGO VELHO,21
ALINE CAPPELETTI,PP,IDEAL,20
ALINE CAPPELETTI,PP,INDUSTRIAL,14
ALINE CAPPELETTI,PP,JARDIM MAUA,21
ALINE CAPPELETTI,PP,LIBERDADE,24
ALINE CAPPELETTI,PP,LOMBA GRANDE,15
ALINE CAPPELETTI,PP,OPERARIO,9
ALINE CAPPELETTI,PP,OURO BRANCO,10
ALINE CAPPELETTI,PP,PATRIA NOVA,39
ALINE CAPPELETTI,PP,PETROPOLIS,13
ALINE CAPPELETTI,PP,PRIMAVERA,12
ALINE CAPPELETTI,PP,RINCAO,3
ALINE CAPPELETTI,PP,RIO BRANCO,9
ALINE CAPPELETTI,PP,RONDONIA,30
ALINE CAPPELETTI,PP,ROSELANDIA,3
ALINE CAPPELETTI,PP,SANTO AFONSO,16
ALINE CAPPELETTI,PP,SAO JORGE,16
ALINE CAPPELETTI,PP,SAO JOSE,26
ALINE CAPPELETTI,PP,VILA NOVA,3
ALINE CAPPELETTI,PP,VILA ROSA,38
ANDIARA ZANELLA,MDB,BOA SAUDE,14
ANDIARA ZANELLA,MDB,CANUDOS,200
ANDIARA ZANELLA,MDB,CENTRO,45
ANDIARA ZANELLA,MDB,GUARANI,21
ANDIARA ZANELLA,MDB,HAMBURGO VELHO,9
ANDIARA ZANELLA,MDB,IDEAL,25
ANDIARA ZANELLA,MDB,INDUSTRIAL,31
ANDIARA ZANELLA,MDB,JARDIM MAUA,20
ANDIARA ZANELLA,MDB,LIBERDADE,24
ANDIARA ZANELLA,MDB,LOMBA GRANDE,7
ANDIARA ZANELLA,MDB,OPERARIO,36
ANDIARA ZANELLA,MDB,OURO BRANCO,3
ANDIARA ZANELLA,MDB,PATRIA NOVA,22
ANDIARA ZANELLA,MDB,PETROPOLIS,17
ANDIARA ZANELLA,MDB,PRIMAVERA,28
ANDIARA ZANELLA,MDB,RINCAO,34
